Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Brazil,BRA,1.88464E+11,2.04672E+11,2.1818E+11,2.19489E+11,2.26952E+11,2.32399E+11,2.47969E+11,2.58384E+11,2.83706E+11,3.10658E+11,3.42966E+11,3.81869E+11,4.27465E+11,4.87176E+11,5.269E+11,5.54124E+11,6.10961E+11,6.41107E+11,6.7297E+11,7.1846E+11,7.84558E+11,7.51214E+11,7.57449E+11,7.35256E+11,7.7496E+11,8.35794E+11,8.98395E+11,9.30109E+11,9.29551E+11,9.58924E+11,9.17211E+11,9.26678E+11,9.21637E+11,9.67024E+11,1.02362E+12,1.06686E+12,1.09042E+12,1.12744E+12,1.13125E+12,1.13655E+12,1.18642E+12,1.20291E+12,1.23964E+12,1.25378E+12,1.326E+12,1.36846E+12,1.42268E+12,1.50903E+12,1.58591E+12,1.58391E+12,1.70315E+12,1.77084E+12,1.80486E+12,1.85909E+12,1.86846E+12,1.80221E+12,1.74317E+12,1.76623E+12,1.79774E+12,1.81968E+12,1.76006E+12,1.84786E+12,1.90146E+12,NA
Virgin Islands (British),VGB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brunei Darussalam,BRN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6708374272,6732220065,8089125568,8972190901,9580131700,11741642091,10920114268,8755014240,9101419943,9147060467,9201931537,9064753827,8818603161,8995780346,9094497086,8996805947,9094818998,9380936671,9827336126,9857267526,10167317762,10622682169,10928436715,10767660661,10707522323,11034332731,11348747419,11660161647,12111654412,12463371464,12526226521,12574766552,13127769535,13148062679,12893027782,12665525725,12994698400,13481391224,13604454981,13315220388,12981227716,12930291488,12609889504,12777424818,12784099462,13278730316,13429254464,13215626906,13000432684,NA
Bulgaria,BGR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30408546078,31898614055,32643308123,33763073452,34909817207,35846601464,37354883785,39616540394,43952448746,42506465016,38630990311,35368465963,32796333901,32310877695,32898293113,33839848536,35601345587,30576080100,31734644883,29070174722,30403689585,31566236669,33419783867,35170029499,37459748128,40103038915,42831084071,45681230429,48481288291,46858550601,47587369526,48582029158,48945818584,48680164511,49142357613,50811995689,52349885977,53787375766,55236895280,57465808373,55186624688,59414884842,61747770025,NA
Burkina Faso,BFA,1166782786,1213966642,1288368214,1272031494,1301069674,1350049032,1357307072,1477066551,1522423925,1553269468,1555087098,1577065764,1613519619,1620769605,1755073487,1807697310,1961982376,1969248648,2059988180,2135478950,2152496130,2244091371,2458675800,2467182444,2423298751,2629699951,2838902120,2832192750,2996335114,3060764327,3042310108,3318247161,3325969080,3441093673,3486344305,3685636779,4091600230,4350059855,4667950033,5013156038,5107828181,5445629584,5682675870,6126066307,6400419255,6954815456,7389711521,7693530570,8139754707,8380850242,9088720452,9690626654,10315931044,10913490102,11385699970,11832159316,12537116612,13314855313,14194244129,14973005006,15260784768,16319556729,16610125161,NA
Burundi,BDI,798536036.5,688768194.4,751192343.7,782257207.6,831328498.7,864309175.8,904179696.7,1029151062,1026085389,1011109250,1226735080,1260431391,1179713807,1260984889,1251819552,1260556254,1360677964,1516740284,1502474189,1527489708,1542627982,1730262074,1712032036,1775639625,1778401526,1987953782,2052565867,2165520540,2274468406,2305162408,2385838992,2505055464,2530356484,2372462239,2281596935,2100894458,1932822901,1902091017,1992440341,1972316693,1955416620,1995616214,2084351677,2058844882,2158362398,2177787659,2295688883,2374934883,2490397481,2585349995,2717827465,2827426576,2953153932,3098572840,3229972475,3104003546,3085379497,3100806433,3150727414,3207836407,3218331065,3318099328,3379450966,NA
Cabo Verde,CPV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188081994.5,203977861.7,209740297.6,229709146.5,238399665.3,259002370.9,266439508.5,277920556.7,294587049.3,311372470.2,313527702.9,317930092.6,352704163.8,383418741.3,456968584.4,521911297.4,581130092,645742611.6,726572059.8,808112687.7,923550525.3,944160982.6,993737848.2,1035238918,1140802982,1219660509,1317035160,1516838455,1623608885,1599196517,1628564468,1692481035,1710821580,1721636311,1733630380,1749857620,1824764035,1907814791,1978536809,2116002111,1675762034,1769857457,2072800252,NA
Cambodia,KHM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5775009073,3764807026,4137653519,4381671867,4557228856,4770581545,5376702112,5914027157,6395924923,6816708954,7396531099,8161371525,9242760346,10238305796,11283900343,12038971277,12049408699,12767924407,13670561754,14670337167,15749584749,16874510038,18049954289,19301414292,20651915663,22194442188,23760061873,23024448758,23721258226,24964207156,NA
Cameroon,CMR,4827329402,4884469574,5033033600,5221397415,5406608720,5516149517,5770717369,5141012904,5467278233,5735255756,5912593777,6118334765,6281929449,6618369537,7328802680,8152930849,7704916015,8763561577,10691808462,11337071802,11114265274,13012879895,13990954313,14951689440,16069264314,17364955075,18540851327,18142844102,16723414750,16419195682,15416689238,14829529308,14369813424,13229990256,13478291934,13868353888,14452915010,15107243821,15821141893,16534881735,17168567485,17910981186,18712860619,19733301669,21124275033,21594980960,22417659743,23387803923,24053813244,24674221649,25389533435,26247499414,27461703152,28833560541,30482787768,32210233020,33671222913,34863580363,36242614249,37502066833,37599547049,38854942335,40247035778,NA
Canada,CAN,2.54847E+11,2.62909E+11,2.82431E+11,2.97539E+11,3.17305E+11,3.37348E+11,3.59967E+11,3.71094E+11,3.89633E+11,4.09292E+11,4.5695E+11,4.75314E+11,5.0155E+11,5.35297E+11,5.53272E+11,5.61822E+11,5.94909E+11,6.15938E+11,6.38949E+11,6.62751E+11,6.77181E+11,7.00307E+11,6.78134E+11,6.9551E+11,7.36535E+11,7.7143E+11,7.87795E+11,8.19875E+11,8.56038E+11,8.76046E+11,8.77824E+11,8.59468E+11,8.67122E+11,8.90167E+11,9.30172E+11,9.55122E+11,9.71254E+11,1.01282E+12,1.05225E+12,1.10635E+12,1.1632E+12,1.18501E+12,1.22055E+12,1.2426E+12,1.28103E+12,1.32215E+12,1.35703E+12,1.38485E+12,1.39863E+12,1.35786E+12,1.39983E+12,1.44375E+12,1.46909E+12,1.50326E+12,1.54646E+12,1.55651E+12,1.57267E+12,1.62039E+12,1.66483E+12,1.69661E+12,1.61113E+12,1.69631E+12,1.7611E+12,NA
Cayman Islands (the),CYM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4633485654,4780025440,4762941572,4419986800,4299956080,4350225241,4403722295,4460060480,4578454034,4708167233,4860710643,5015477902,5229501758,5434269977,5156680187,5364425498,5561542246,NA
